ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"91.211.245.176","elite","AS61053","LT","UAB ESNET","34","ESNET","3128","socks4","5187","1","2023-05-11T04:29:23.466Z","100","1552","1554"
"162.19.7.60","elite","AS16276","FR","OVH SAS","6","OVH","34727","socks5","4798","1","2023-05-11T04:29:23.359Z","100","1546","1547"
"186.251.254.253","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","294","Seanet Telecom Carazinho Eireli","31337","socks4","4788","1","2023-05-11T04:29:23.361Z","100","1622","1625"
"103.12.246.65","elite","AS134941","IN","Instant Cable Network PVT LTD","166","Instant Cable Network PVT LTD","4145","socks4","4982","99","2023-05-11T04:29:23.359Z","100","1618","1624"
"172.67.53.215","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4892","1","2023-05-11T04:29:21.755Z","100","1551","1551"
"110.78.147.107","elite","AS131090","TH","CAT-BB","199","N/A","4145","socks4","4993","1","2023-05-11T04:29:21.754Z","80","1249","1552"
"203.150.136.34","elite","AS45752","TH","Internet Thailand Company Ltd","193","INEXT Broadband Company Limited","3629","socks4","4694","1","2023-05-11T04:29:21.969Z","97","1574","1628"
"104.21.194.182","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4713","1","2023-05-11T04:29:21.755Z","100","1570","1571"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","167","Broban  PVT Ltd.","1080","socks4","5096","1","2023-05-11T04:29:21.673Z","99","1573","1587"
"83.136.176.72","elite","AS209581","ES","Wicat","94","GUARICO CONSTRUMAT, S.L","4145","socks4","5003","1","2023-05-11T04:29:21.754Z","100","1516","1522"
"65.49.67.161","elite","AS6939","US","Hurricane Electric LLC","196","Calcom","48324","socks4","5093","1","2023-05-11T04:29:20.255Z","99","1619","1629"
"192.12.113.232","elite","AS61942","BR","Rosana Ferreira da Silva Multimidia ME","297","Turbonet Telecom Ltda","4145","socks4","5103","1","2023-05-11T04:29:20.254Z","53","835","1573"
"101.71.154.251","elite","AS4837","CN","China Unicom Zhejiang Province Network","213","N/A","1080","socks5","4805","1","2023-05-11T04:29:20.368Z","100","1579","1583"
"121.139.218.165","elite","AS4766","KR","Korea Telecom","284","N/A","43295","socks4","4903","1","2023-05-11T04:29:20.257Z","100","1624","1627"
"216.80.120.100","elite","AS6079","US","RCN","105","RCN Corporation","3820","socks5","4901","1","2023-05-11T04:29:20.367Z","98","1567","1594"
"185.56.246.76","elite","AS41026","PL","KOPnet S.C. Marek Szczudlo Juliusz Kostrzewski","98","Kopnet","8291","socks4","4894","1","2023-05-11T04:29:20.258Z","99","1617","1628"
"196.44.181.37","elite","AS31856","ZW","YoAHRE-MAIN","204","N/A","5678","socks4","4995","1","2023-05-11T04:29:20.256Z","95","1532","1609"
"45.112.127.140","anonymous","AS58369","ID","FIBERNET","163","N/A","3179","http","5100","3002","2023-05-11T04:29:19.061Z","99","1504","1513"
"51.38.177.96","elite","AS16276","FR","OVH SAS","7","OVH","7497","socks5","5005","1","2023-05-11T04:29:19.061Z","100","1543","1543"
"54.36.244.133","elite","AS16276","FR","OVH SAS","7","OVH","47673","socks4","3904","1","2023-05-11T04:29:19.062Z","100","1550","1550"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","167","Telekomunikasi Indonesia","1080","socks4","4805","83","2023-05-11T04:29:18.868Z","96","1570","1628"
"149.28.100.114","elite","AS20473","US","The Constant Company","184","Vultr Holdings, LLC","37683","socks5","5005","1","2023-05-11T04:29:18.867Z","31","471","1540"
"187.103.74.137","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","183","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","5096","1","2023-05-11T04:29:18.866Z","92","1464","1596"
"180.246.225.122","elite","AS7713","ID","PT. TELKOM INDONESIA","195","N/A","8080","socks4","4796","1","2023-05-11T04:29:18.869Z","91","1381","1522"
"64.90.54.17","elite","AS26347","US","New Dream Network, LLC","193","New Dream Network, LLC","63770","socks5","4902","88","2023-05-11T04:29:18.868Z","100","1543","1544"
"115.171.90.145","elite","AS4847","CN","China Networks Inter-Exchange","197","Chinanet Cdma","8881","socks4","4912","1","2023-05-11T04:29:18.867Z","63","992","1564"
"117.86.138.13","elite","AS4134","CN","Chinanet","285","Chinanet JS","20012","socks5","3594","1","2023-05-11T04:29:17.464Z","83","1339","1610"
"188.127.224.46","elite","AS56694","RU","LLC Smart Ape","94","N/A","32606","socks5","3206","1","2023-05-11T04:29:17.463Z","86","1372","1596"
"118.67.223.4","elite","AS58923","BD","InterCloud Limited","183","InterCloud ltd","5678","socks4","4405","1","2023-05-11T04:29:17.463Z","100","1574","1576"
"61.182.224.169","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","197","N/A","7300","socks5","1900","1","2023-05-11T04:29:17.464Z","99","1584","1606"
"114.99.14.240","elite","AS4134","CN","Chinanet","283","Chinanet AH","8004","socks4","3911","1","2023-05-11T04:29:16.060Z","66","1024","1563"
"103.53.78.26","anonymous","AS133817","ID","INTI","284","N/A","8080","http","4893","3707","2023-05-11T04:29:15.958Z","99","1492","1512"
"103.114.98.205","elite","AS137449","BD","Skynet Chowmuhani","301","N/A","1080","socks4","3992","1","2023-05-11T04:29:15.873Z","75","1222","1628"
